City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,avarua,-21.2078,-159.775,80.65,69,75,16.11,CK,2023-02-01 01:21:54
108,murud,18.3258,72.965,73.11,55,68,8.19,IN,2023-02-01 01:21:54
109,puerto concordia,2.6221,-72.7572,77.72,48,11,3.67,CO,2023-02-01 01:21:54
110,bendigo,-36.7667,144.2833,70.65,50,6,1.99,AU,2023-02-01 01:21:55
111,lompoc,34.6391,-120.4579,59.02,51,0,8.05,US,2023-02-01 01:21:55
112,tura,25.5198,90.2201,60.94,56,100,2.08,IN,2023-02-01 01:21:56
113,ndioum,16.5129,-14.6471,72.81,16,1,9.6,SN,2023-02-01 01:21:56
114,victoria,22.2855,114.1577,69.94,83,89,5.01,HK,2023-02-01 01:18:40
115,capreol,46.706,-80.9225,7.27,85,40,5.75,CA,2023-02-01 01:21:57
116,leopold,-38.1833,144.4667,65.86,76,75,20.71,AU,2023-02-01 01:21:57
117,souillac,-20.5167,57.5167,77.38,88,40,4.61,MU,2023-02-01 01:17:48
118,los llanos de aridane,28.6585,-17.9182,56.95,72,63,11.01,ES,2023-02-01 01:21:57
119,pangnirtung,66.1451,-65.7125,-21.06,70,100,4.83,CA,2023-02-01 01:21:58
120,manadhoo,5.7667,73.3833,80.31,75,100,12.68,MV,2023-02-01 01:21:58
121,namatanai,-3.6667,152.4333,83.48,72,100,5.79,PG,2023-02-01 01:21:59
122,half moon bay,37.4636,-122.4286,57.11,42,0,12.66,US,2023-02-01 01:21:59
123,morros,-9.4467,-46.3003,76.15,61,58,1.32,BR,2023-02-01 01:21:59
124,bathsheba,13.2167,-59.5167,74.01,78,20,6.91,BB,2023-02-01 01:22:00
125,dothan,31.2232,-85.3905,69.69,90,0,3.44,US,2023-02-01 01:18:45
126,ponta do sol,32.6667,-17.1,58.01,75,71,6.42,PT,2023-02-01 01:20:40
127,cradock,-32.1642,25.6192,69.49,69,5,5.86,ZA,2023-02-01 01:22:01
128,lebu,-37.6167,-73.65,57.2,83,0,20.69,CL,2023-02-01 01:22:01
129,hobyo,5.3505,48.5268,75.25,73,8,14.83,SO,2023-02-01 01:22:01
130,yar-sale,66.8333,70.8333,12.85,94,100,16.6,RU,2023-02-01 01:22:02
131,merauke,-8.4667,140.3333,83.93,76,100,8.25,ID,2023-02-01 01:22:02
132,bluff,-46.6,168.3333,62.51,89,100,2.21,NZ,2023-02-01 01:22:03
133,luderitz,-26.6481,15.1594,60.8,93,2,11.7,NA,2023-02-01 01:22:03
134,cedar city,37.6775,-113.0619,14.4,73,0,5.75,US,2023-02-01 01:17:40
135,vila franca do campo,37.7167,-25.4333,54.01,82,80,7.52,PT,2023-02-01 01:22:04
136,swift current,50.2834,-107.8014,9.41,85,75,16.11,CA,2023-02-01 01:21:29
137,challapata,-18.9,-66.7667,53.98,64,59,5.79,BO,2023-02-01 01:22:04
138,pedernales,18.0384,-71.744,75.85,70,17,3.02,DO,2023-02-01 01:22:05
139,port alfred,-33.5906,26.891,68.18,95,7,7.27,ZA,2023-02-01 01:22:05
140,havelock,34.8791,-76.9013,58.95,90,100,4.61,US,2023-02-01 01:17:42
141,ormara,25.2088,64.6357,66.61,43,1,6.06,PK,2023-02-01 01:22:06
142,tuktoyaktuk,69.4541,-133.0374,-36.4,67,20,5.75,CA,2023-02-01 01:22:06
143,sechura,-5.5569,-80.8222,74.8,75,86,8.93,PE,2023-02-01 01:22:07
144,khatanga,71.9667,102.5,-43.98,100,71,3.76,RU,2023-02-01 01:22:07
145,mandalgovi,45.7625,106.2708,4.5,69,0,5.55,MN,2023-02-01 01:22:07
146,chiradzulu,-15.6746,35.1407,62.46,95,72,2.01,MW,2023-02-01 01:22:08
147,san quintin,30.4833,-115.95,56.07,60,24,5.68,MX,2023-02-01 01:22:09
148,mulanje,-16.0316,35.5,67.84,95,100,3.13,MW,2023-02-01 01:22:09
149,new norfolk,-42.7826,147.0587,57.9,67,100,1.99,AU,2023-02-01 01:22:10
150,jizan,17.3333,42.6667,77.94,78,21,3.74,SA,2023-02-01 01:22:11
151,bud,39.447,-86.1758,24.22,70,100,8.23,US,2023-02-01 01:22:11
152,kodiak,57.79,-152.4072,38.71,87,100,5.75,US,2023-02-01 01:18:52
153,longyearbyen,78.2186,15.6401,15.64,67,20,17.27,SJ,2023-02-01 01:22:12
154,leh,34.1667,77.5833,-0.67,88,100,3.29,IN,2023-02-01 01:22:12
155,hofn,64.2539,-15.2082,27.72,65,87,15.3,IS,2023-02-01 01:22:13
156,chapais,49.7834,-74.8492,-2.42,93,100,9.31,CA,2023-02-01 01:17:47
157,verkhoyansk,67.5447,133.385,-19.37,98,100,2.57,RU,2023-02-01 01:22:13
158,sola,-13.8833,167.55,81.25,72,100,6.4,VU,2023-02-01 01:22:14
159,te anau,-45.4167,167.7167,69.22,69,100,2.33,NZ,2023-02-01 01:22:14
160,nantucket,41.2835,-70.0995,33.94,66,100,12.66,US,2023-02-01 01:19:50
161,arandis,-22.4167,14.9667,62.49,73,100,4.7,NA,2023-02-01 01:22:15
162,camabatela,-8.1881,15.375,60.4,96,56,2.26,AO,2023-02-01 01:22:15
163,yulara,-25.2406,130.9889,85.15,23,1,13.44,AU,2023-02-01 01:22:16
164,aberdeen,57.1437,-2.0981,42.21,71,40,17.27,GB,2023-02-01 01:21:43
165,stafford,52.8052,-2.1164,46.54,81,30,19.57,GB,2023-02-01 01:18:37
166,malanje,-9.5402,16.341,61.9,96,99,0.89,AO,2023-02-01 01:22:16
167,bengkulu,-3.8004,102.2655,76.59,88,100,4.88,ID,2023-02-01 01:19:12
168,grindavik,63.8424,-22.4338,27.07,80,0,4.61,IS,2023-02-01 01:22:17
169,thinadhoo,0.5333,72.9333,80.8,75,100,11.07,MV,2023-02-01 01:22:17
170,basco,20.4487,121.9702,74.93,71,100,18.39,PH,2023-02-01 01:22:18
171,kapoeta,4.7717,33.5903,82.36,33,6,8.19,SS,2023-02-01 01:22:18
172,antofagasta,-23.65,-70.4,70.88,82,100,3.18,CL,2023-02-01 01:22:18
173,lebedyn,50.5852,34.4849,27.5,97,94,5.59,UA,2023-02-01 01:17:36
174,fillmore,43.6666,-92.1002,7.29,78,0,13.8,US,2023-02-01 01:22:19
175,komyshuvakha,47.7176,35.5288,30.31,89,100,4.29,UA,2023-02-01 01:22:19
176,mount gambier,-37.8333,140.7667,63.21,46,97,10.11,AU,2023-02-01 01:22:20
177,costa rica,-23.4167,-54.65,69.51,97,95,3.58,BR,2023-02-01 01:22:20
178,farah,32.5,62.5,49.1,37,100,9.19,AF,2023-02-01 01:22:21
179,faanui,-16.4833,-151.75,81.28,75,100,14.12,PF,2023-02-01 01:22:21
180,bermeo,43.4209,-2.7215,50.23,86,100,7.58,ES,2023-02-01 01:22:22
181,charters towers,-20.1,146.2667,82.13,69,100,9.73,AU,2023-02-01 01:22:22
182,karasjok,69.4719,25.5112,21.36,96,100,6.62,NO,2023-02-01 01:22:22
183,ribeira grande,38.5167,-28.7,55.78,81,91,8.99,PT,2023-02-01 01:22:23
184,healdsburg,38.6105,-122.8692,57.52,38,0,5.75,US,2023-02-01 01:21:04
185,san patricio,28.017,-97.5169,39.07,81,100,14.7,US,2023-02-01 01:22:24
186,liverpool,53.4106,-2.9779,47.14,80,75,24.16,GB,2023-02-01 01:20:29
187,general pico,-35.6566,-63.7568,79.47,40,10,8.23,AR,2023-02-01 01:22:24
188,hamilton,39.1834,-84.5333,26.94,68,100,10.36,US,2023-02-01 01:21:35
189,lorengau,-2.0226,147.2712,84.13,70,97,10.22,PG,2023-02-01 01:20:53
190,rocha,-34.4833,-54.3333,68.81,94,4,5.77,UY,2023-02-01 01:22:25
191,puerto ayora,-0.7393,-90.3518,77.56,91,98,4.47,EC,2023-02-01 01:22:25
192,tasiilaq,65.6145,-37.6368,8.76,75,98,5.97,GL,2023-02-01 01:22:26
193,barcelos,41.5388,-8.6151,41.85,77,23,4.25,PT,2023-02-01 01:22:26
194,airai,-8.9266,125.4092,70.97,73,76,1.92,TL,2023-02-01 01:22:27
195,mahebourg,-20.4081,57.7,77.29,88,40,4.61,MU,2023-02-01 01:22:27
196,shubarkuduk,49.1447,56.4872,5.63,82,2,8.05,KZ,2023-02-01 01:22:27
197,narsaq,60.9167,-46.05,19.62,93,100,3.51,GL,2023-02-01 01:22:28
198,simitli,41.8833,23.1167,28.76,94,39,3.83,BG,2023-02-01 01:22:28
199,adrar,20.5022,-10.0711,61.7,13,11,10.63,MR,2023-02-01 01:22:28
200,vestmannaeyjar,63.4427,-20.2734,32.0,70,100,8.93,IS,2023-02-01 01:22:29
201,constantine,36.365,6.6147,36.81,80,40,2.3,DZ,2023-02-01 01:22:29
202,vardo,70.3705,31.1107,31.98,86,100,29.93,NO,2023-02-01 01:22:30
203,male,4.1748,73.5089,80.55,83,75,9.22,MV,2023-02-01 01:22:30
204,nelson bay,-32.7167,152.15,79.09,72,92,13.0,AU,2023-02-01 01:22:31
205,peniche,39.3558,-9.3811,46.45,90,0,8.61,PT,2023-02-01 01:20:25
206,cozumel,20.5083,-86.9458,78.08,90,20,5.99,MX,2023-02-01 01:18:16
207,mineiros,-17.5694,-52.5511,70.25,87,100,2.73,BR,2023-02-01 01:21:44
208,lasa,46.6166,10.7002,28.36,89,28,6.78,IT,2023-02-01 01:22:32
209,vila velha,-20.3297,-40.2925,76.95,88,20,6.91,BR,2023-02-01 01:22:32
210,hasaki,35.7333,140.8333,46.8,59,3,14.81,JP,2023-02-01 01:19:15
211,monze,-16.2833,27.4833,63.19,97,92,4.0,ZM,2023-02-01 01:22:33
212,shingu,33.7333,135.9833,51.73,55,99,4.72,JP,2023-02-01 01:22:33
213,hagere selam,6.4833,38.5167,45.88,80,5,3.33,ET,2023-02-01 01:22:33
214,riberalta,-10.9833,-66.1,72.03,99,93,3.33,BO,2023-02-01 01:22:34
215,chalon-sur-saone,46.7833,4.85,39.97,93,87,4.09,FR,2023-02-01 01:22:34
216,mahina,-17.5065,-149.489,85.77,62,40,14.97,PF,2023-02-01 01:22:35
217,kaeo,-35.1,173.7833,72.32,93,100,7.67,NZ,2023-02-01 01:22:35
218,ballina,-28.8667,153.5667,84.78,81,68,7.7,AU,2023-02-01 01:22:36
219,leningradskiy,69.3833,178.4167,6.4,96,100,9.4,RU,2023-02-01 01:22:36
220,hilo,19.7297,-155.09,76.28,91,75,6.91,US,2023-02-01 01:22:36
221,san policarpo,12.1791,125.5072,79.93,85,28,14.14,PH,2023-02-01 01:22:37
222,iquitos,-3.7481,-73.2472,77.04,88,75,2.3,PE,2023-02-01 01:22:37
