City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
563,kochki,54.3358,80.4806,-9.47,93,70,3.89,RU,2023-02-01 00:51:59
564,yeppoon,-23.1333,150.7333,83.98,70,90,10.11,AU,2023-02-01 00:51:59
565,stillwater,36.1156,-97.0584,26.87,51,0,5.75,US,2023-02-01 00:47:43
566,marsabit,2.3284,37.9899,68.81,48,1,17.11,KE,2023-02-01 00:52:00
567,katsuura,35.1333,140.3,50.02,49,1,21.18,JP,2023-02-01 00:52:00
568,butte,39.6499,-121.5677,55.62,32,0,3.44,US,2023-02-01 00:52:01
569,ucluelet,48.9329,-125.5528,41.09,91,100,1.01,CA,2023-02-01 00:52:01
570,natal,-5.795,-35.2094,79.45,73,20,11.5,BR,2023-02-01 00:47:40
571,atar,20.5169,-13.0499,66.49,22,21,5.91,MR,2023-02-01 00:52:02
572,avera,33.194,-82.5271,63.55,95,100,5.93,US,2023-02-01 00:52:02
